year,1,2,3,4,5,6,7,8,9,10,11,12
2007,0,0,0,517.092,1199.687,755.34,3660.481,13937.996,20019.118,9170.884,2860.682,527.447
2008,11.281,71.167,2.046,27.377,213.785,1369.441,9731.876,12904.026,12073.235,17726.83,3384.414,279.808
2009,3.849,6.347,2.717,4.64,205.729,246.41,8556.537,13899.803,12834.481,7135.502,1143.174,90.991
2010,17.779,58.943,2.804,2.348,1561.636,1736.904,7230.684,10220.499,8595.073,4656.445,1258.997,19.479
2011,9.973,3.842,1.853,7.04,430.666,113.013,1916.914,7937.377,7728.151,9493.516,4110.359,7.641
2012,3.422,3.346,3.61,3.375,391.338,115.601,1253.73,9543.753,11459.969,7940.136,1407.572,21.223
2013,1.701,2.77,0.116,27.814,1183.622,2859.381,2879.225,10425.817,11614.529,4666.928,1.422,2.038
2014,3.501,3.133,1.341,1.05,2483.031,3269.758,3399.228,418.163,1669.304,2066.23,9.097,2.345
2015,4.667,2.363,0.507,5.805,1452.509,2801.848,5998.822,3765.872,1990.109,630.629,27.88,93.981
2016,5.523,8.908,66.731,1736.37,5830.97,7903.688,6220.159,2340.947,8057.374,2808.82,24.883,7.422
2017,1.125,3.453,1.924,815.977,6160.119,7435.008,11336.928,8908.037,5362.074,3326.911,70.733,4.859
2018,1.248,2.677,1.012,1233.853,6672.868,12365.575,11588.11,7995.05,6120.508,4758.293,5.083,2.877
2019,2.826,24.101,24.467,301.722,5428.79,8326.47,9925.963,10515.317,7629.294,4897.248,2185.127,13.569
2020,1.672,9.278,6.446,747.61,4491.67,6780.847,10688.698,8028.385,5312.657,2589.75,418.671,1.449
2021,3.362,0.352,1.247,608.519,1658.224,1224.499,3640.909,5096.015,3752.487,955.679,9.913,1.335
2022,1.139,3.919,1.86,1.388,154.421,2068.306,2064.854,689.702,30.448,27.241,6.783,2.576
2023,0.597,28.033,4.101,0.254,572.323,826.663,420.021,1387.305,1164.583,174.866,1.013,0
